,EntityName,Count,Amount,Type,Year,Quartile
78,madhya pradesh,68131989,104687926790.8659,state,2019,4
79,odisha,64995633,79769373632.04843,state,2019,4
80,karnataka,271033890,353402054999.4003,state,2020,1
81,maharashtra,238944081,319995196718.0683,state,2020,1
82,telangana,199409525,371343780368.2118,state,2020,1
83,andhra pradesh,127677357,252737214289.0485,state,2020,1
84,rajasthan,102258812,190308238561.00217,state,2020,1
85,uttar pradesh,97239132,172416434960.69037,state,2020,1
86,delhi,81747604,133616543642.58943,state,2020,1
87,madhya pradesh,79366746,126737281436.18527,state,2020,1
88,tamil nadu,66953473,116569686179.4346,state,2020,1
89,west bengal,66250381,96653305190.9406,state,2020,1
90,karnataka,213221712,321104877020.14185,state,2020,2
91,maharashtra,184790761,296359517159.4161,state,2020,2
92,telangana,152055143,321531839352.42236,state,2020,2
93,andhra pradesh,144917855,302583689746.5449,state,2020,2
94,rajasthan,101954656,193763273003.28284,state,2020,2
95,uttar pradesh,100851965,178744016130.31216,state,2020,2
96,madhya pradesh,76340573,147922015289.08447,state,2020,2
97,delhi,66042018,107873438203.3316,state,2020,2
98,west bengal,57676797,100099431877.35757,state,2020,2
99,bihar,53386742,128806523628.85289,state,2020,2
100,karnataka,300360531,470740515696.6945,state,2020,3
101,maharashtra,268310924,440307079012.4761,state,2020,3
102,telangana,236372126,505961144755.88367,state,2020,3
103,andhra pradesh,204902935,467084130584.9388,state,2020,3
104,rajasthan,149088676,293678306162.4698,state,2020,3
105,uttar pradesh,127405259,248689955423.05322,state,2020,3
106,madhya pradesh,108579881,205701679984.5376,state,2020,3
107,delhi,96491861,175163962804.6604,state,2020,3
108,west bengal,79954504,156813355855.1383,state,2020,3
109,bihar,71503748,173328865111.81442,state,2020,3
110,karnataka,431536984,658036698565.0032,state,2020,4
111,maharashtra,407621004,622155530832.2585,state,2020,4
112,telangana,343643787,696350439226.9452,state,2020,4
113,andhra pradesh,286118552,654841546033.3186,state,2020,4
114,rajasthan,190283435,386034779836.48376,state,2020,4
115,uttar pradesh,178167517,357428826778.2578,state,2020,4
116,madhya pradesh,153652541,284275139772.3589,state,2020,4
117,delhi,120540417,216265088224.54358,state,2020,4
118,tamil nadu,111179701,206473197500.99268,state,2020,4
119,west bengal,100340645,199165491365.6468,state,2020,4
120,karnataka,523797492,754995357412.3948,state,2021,1
121,maharashtra,517860240,769887352153.2483,state,2021,1
122,telangana,412572110,799359264046.5657,state,2021,1
123,andhra pradesh,289747970,672444670176.5881,state,2021,1
124,rajasthan,252730919,491492581657.63354,state,2021,1
125,uttar pradesh,204499547,396287587577.55756,state,2021,1
126,madhya pradesh,201998498,343533954382.3015,state,2021,1
127,delhi,157359004,266928345043.49225,state,2021,1
128,tamil nadu,136556674,248668143873.65317,state,2021,1
129,west bengal,118254052,242937207475.51984,state,2021,1
130,maharashtra,573616486,915115055623.7152,state,2021,2
131,karnataka,530649046,837887151230.051,state,2021,2
132,telangana,495867544,1027958332797.5903,state,2021,2
133,andhra pradesh,352767134,850737499108.2987,state,2021,2
134,rajasthan,287477039,561702765169.2324,state,2021,2
135,uttar pradesh,241949131,482172489166.39343,state,2021,2
136,madhya pradesh,223314680,425500768035.631,state,2021,2
137,delhi,170157264,281941097684.5416,state,2021,2
138,bihar,155603622,374580255186.58875,state,2021,2
139,tamil nadu,146158442,263487341026.54623,state,2021,2
140,maharashtra,792874060,1159257305167.4514,state,2021,3
141,karnataka,753296539,1133234739157.5984,state,2021,3
142,telangana,622886768,1178289126292.2617,state,2021,3
143,andhra pradesh,432032550,984218035564.1218,state,2021,3
144,rajasthan,400284753,710511328542.4897,state,2021,3
145,madhya pradesh,311443334,504412603851.49896,state,2021,3
146,uttar pradesh,306543384,557080841279.8989,state,2021,3
147,delhi,238760608,383858316548.281,state,2021,3
148,tamil nadu,204357404,365207323053.92737,state,2021,3
149,bihar,187671113,397062760956.3983,state,2021,3
150,maharashtra,1010731502,1475358473128.29,state,2021,4
151,karnataka,931725438,1375471324349.8774,state,2021,4
152,telangana,775989773,1463758189500.9146,state,2021,4
153,andhra pradesh,522254003,1156264447083.9229,state,2021,4
154,rajasthan,487621597,903934418544.2667,state,2021,4
155,uttar pradesh,406157932,773890970072.1895,state,2021,4
156,madhya pradesh,404308084,656887492404.4789,state,2021,4
157,delhi,292683359,488695314062.3906,state,2021,4
158,tamil nadu,259155976,443723952594.79407,state,2021,4
159,bihar,245126945,519371614068.7477,state,2021,4
160,maharashtra,1169506438,1681399273981.1611,state,2022,1
161,karnataka,1057855407,1566649488305.8838,state,2022,1
162,telangana,886453385,1670638169828.9993,state,2022,1
163,andhra pradesh,582603911,1294320646554.8625,state,2022,1
164,rajasthan,564962220,1022050180980.1362,state,2022,1
165,uttar pradesh,473953246,883123174117.0391,state,2022,1
166,madhya pradesh,472703058,747665139599.6421,state,2022,1
167,delhi,330999861,536964920836.2892,state,2022,1
168,tamil nadu,294573150,512789201600.616,state,2022,1
169,bihar,284390434,611411695731.1455,state,2022,1
170,maharashtra,1407533113,2006272382175.9395,state,2022,2
171,karnataka,1277448960,1867146114059.214,state,2022,2
172,telangana,1063382557,1951414544517.106,state,2022,2
173,andhra pradesh,671134030,1479853948202.9197,state,2022,2
174,rajasthan,661170150,1152833518600.3425,state,2022,2
175,uttar pradesh,595298776,1067515182419.9624,state,2022,2
176,madhya pradesh,544899829,867024737328.533,state,2022,2
177,delhi,410634184,629855650458.2181,state,2022,2
178,bihar,360145029,754461454966.1152,state,2022,2
179,tamil nadu,354506937,590134727678.3616,state,2022,2
180,telangana,1628165401,2706325865752.0645,state,2022,3
181,maharashtra,1486389417,1947579187374.532,state,2022,3
182,karnataka,1189761328,1665918232610.9397,state,2022,3
183,rajasthan,767541360,1238489256318.2173,state,2022,3
184,madhya pradesh,731259559,1032908494249.5833,state,2022,3
185,uttar pradesh,703589072,1121370050898.7217,state,2022,3
186,andhra pradesh,642855035,1385077409712.0752,state,2022,3
187,delhi,475592161,677612647116.1133,state,2022,3
188,bihar,437367385,791446486557.8687,state,2022,3
189,tamil nadu,393496175,631879220373.2378,state,2022,3
190,telangana,1819506832,2978252562916.1367,state,2022,4
191,maharashtra,1688775272,2210470839617.1724,state,2022,4
192,karnataka,1378910371,1904516622907.6313,state,2022,4
193,madhya pradesh,898828268,1302999857548.291,state,2022,4
194,rajasthan,865574848,1456956699398.6523,state,2022,4
195,uttar pradesh,836369071,1376378802069.4856,state,2022,4
196,andhra pradesh,690017077,1424725083041.6873,state,2022,4
197,bihar,517084649,936012149674.8281,state,2022,4
198,delhi,515203457,744915016018.5759,state,2022,4
199,odisha,445714743,652217064523.9851,state,2022,4
0,bengaluru urban,8306513,14162750303.06484,district,2018,1
1,pune,3842929,5378982326.835919,district,2018,1
2,central delhi,2997714,4312145216.274474,district,2018,1
3,mumbai,2671029,3923116793.952079,district,2018,1
4,chennai,2656230,4281137762.522443,district,2018,1
5,hyderabad,2545507,4287223789.76588,district,2018,1
6,jaipur,2417174,2953086960.1413727,district,2018,1
7,birbhum,2125816,2520486412.452376,district,2018,1
8,kolkata,2043129,2753347660.1429114,district,2018,1
9,bhopal,1704495,1905473874.8326716,district,2018,1
10,bengaluru urban,11916035,23824727965.49048,district,2018,2
11,pune,5162876,8513428062.925206,district,2018,2
12,chennai,3719593,7305357440.752291,district,2018,2
13,central delhi,3589206,6223466821.092629,district,2018,2
14,mumbai,3277612,6048515205.760132,district,2018,2
15,jaipur,3175255,4952882923.415596,district,2018,2
16,hyderabad,3156805,6628159910.681627,district,2018,2
17,birbhum,2775489,3988930679.767912,district,2018,2
18,kolkata,2501448,4109821729.8900533,district,2018,2
19,north twenty four parganas,2119664,2509379355.091834,district,2018,2
20,bengaluru urban,18405424,33812835282.27632,district,2018,3
21,central delhi,8165361,10515884583.426525,district,2018,3
22,pune,7890491,12601613622.467594,district,2018,3
23,birbhum,6066238,6130627463.516832,district,2018,3
24,chennai,5887343,10122319547.137985,district,2018,3
25,hyderabad,5786941,9503554478.108147,district,2018,3
26,khordha,5333443,4389717266.977921,district,2018,3
27,bankura,5179457,2464193070.534754,district,2018,3
28,jaipur,4954443,7882149494.55468,district,2018,3
29,north twenty four parganas,4856114,4545902671.152222,district,2018,3
30,bengaluru urban,33061353,50279165003.07312,district,2018,4
31,pune,11075153,18048884123.019886,district,2018,4
32,central delhi,9373395,13878492766.290386,district,2018,4
33,hyderabad,9360515,14727846731.548256,district,2018,4
34,chennai,8007699,14632395110.56675,district,2018,4
35,jaipur,7271209,12107341570.492035,district,2018,4
36,gautam buddha nagar,6083056,7483532543.63562,district,2018,4
37,mumbai,6060284,11506143747.453331,district,2018,4
38,rangareddy,5803319,9396311751.227482,district,2018,4
39,kolkata,5401244,8502095208.881001,district,2018,4
40,bengaluru urban,65174133,82111161572.76288,district,2019,1
41,hyderabad,24838664,34892156029.40753,district,2019,1
42,pune,23360634,32233517413.825317,district,2019,1
43,jaipur,19178441,25043540802.372772,district,2019,1
44,rangareddy,12952050,17677048557.63253,district,2019,1
45,central delhi,12885975,16258175800.83931,district,2019,1
46,chennai,11642449,18810971714.51368,district,2019,1
47,gautam buddha nagar,10750094,10286434896.5461,district,2019,1
48,medchal malkajgiri,10127087,13392043971.075241,district,2019,1
49,new delhi,10000765,13939472234.96883,district,2019,1
50,bengaluru urban,89148659,113389910485.89922,district,2019,2
51,pune,44795652,58398808592.1738,district,2019,2
52,hyderabad,43511186,73949377453.0185,district,2019,2
53,jaipur,27449382,46056907216.76753,district,2019,2
54,new delhi,23313548,36146671717.918365,district,2019,2
55,rangareddy,16348519,25359412038.382965,district,2019,2
56,patna,13421445,26125484618.416542,district,2019,2
57,khordha,13339889,19006076643.493904,district,2019,2
58,kolkata,13259522,17260848900.77318,district,2019,2
59,lucknow,12624404,22426462674.94428,district,2019,2
60,bengaluru urban,131234422,150244275641.79712,district,2019,3
61,pune,67093416,78128868958.39702,district,2019,3
62,hyderabad,55159072,96365182751.25804,district,2019,3
63,jaipur,36334520,58402103360.67965,district,2019,3
64,new delhi,24687138,43288057341.92169,district,2019,3
65,rangareddy,23655175,33663962263.155968,district,2019,3
66,khordha,18364742,25509656902.49331,district,2019,3
67,medchal malkajgiri,17492750,23256556346.306458,district,2019,3
68,visakhapatnam,16694947,26944837120.046288,district,2019,3
69,kolkata,16306691,21451201632.248753,district,2019,3
70,bengaluru urban,180458808,199966708446.8142,district,2019,4
71,pune,91666565,103270644868.1607,district,2019,4
72,hyderabad,72987282,130230415629.3025,district,2019,4
73,jaipur,44335592,81782144762.48987,district,2019,4
74,rangareddy,31237803,44757331443.568375,district,2019,4
75,new delhi,29048107,54398427887.76768,district,2019,4
76,khordha,27477393,34227232121.528633,district,2019,4
77,visakhapatnam,23594874,39133296330.044624,district,2019,4
78,medchal malkajgiri,22999944,31417907129.793076,district,2019,4
79,kolkata,21917627,26475748918.32508,district,2019,4
80,bengaluru urban,200174352,231970686013.7528,district,2020,1
81,pune,107497963,119146177775.3236,district,2020,1
82,hyderabad,94177232,183207208610.81787,district,2020,1
83,jaipur,52623661,98360847993.80875,district,2020,1
84,rangareddy,31802492,45881228273.95146,district,2020,1
85,visakhapatnam,27115031,48809747614.678894,district,2020,1
86,medchal malkajgiri,25458101,37404467180.931694,district,2020,1
87,central delhi,24757650,41219414205.0607,district,2020,1
88,mumbai suburban,23598054,40462122569.6479,district,2020,1
89,khordha,23152370,39755139238.6053,district,2020,1
90,bengaluru urban,132120979,176357097466.7659,district,2020,2
91,pune,58840981,94890914730.75931,district,2020,2
92,hyderabad,56374644,130820061488.30273,district,2020,2
93,jaipur,43871862,88270816977.90562,district,2020,2
94,visakhapatnam,25300401,48293889917.41437,district,2020,2
95,rangareddy,18068048,31273545586.261536,district,2020,2
96,medchal malkajgiri,17860704,29732057894.607735,district,2020,2
97,central delhi,17641823,30418597739.3527,district,2020,2
98,khordha,16842715,34814877058.416145,district,2020,2
99,ahmadabad,16430916,32731896547.150326,district,2020,2
100,bengaluru urban,188947684,261095181780.0901,district,2020,3
101,pune,101472134,154366363808.0403,district,2020,3
102,hyderabad,99285803,228448742377.47607,district,2020,3
103,jaipur,71797182,138189424031.4575,district,2020,3
104,visakhapatnam,34421299,67628440368.111465,district,2020,3
105,central delhi,32203761,61527717933.93762,district,2020,3
106,rangareddy,29573243,51787722036.044556,district,2020,3
107,bhopal,29560361,57525605025.512215,district,2020,3
108,medchal malkajgiri,28698311,48831695001.78223,district,2020,3
109,khordha,23387123,44638448273.52248,district,2020,3
110,bengaluru urban,267720411,352536741958.4486,district,2020,4
111,pune,142350762,182511549425.14316,district,2020,4
112,hyderabad,117008707,243045184188.2821,district,2020,4
113,jaipur,82378485,159641718978.41748,district,2020,4
114,rangareddy,53405219,89256130453.08658,district,2020,4
115,medchal malkajgiri,49900746,81801106073.41168,district,2020,4
116,visakhapatnam,46551467,91879823025.40399,district,2020,4
117,bhopal,38492334,67905952477.88091,district,2020,4
118,central delhi,32194168,61575435521.28284,district,2020,4
119,mumbai suburban,31947471,52567087497.07483,district,2020,4
120,bengaluru urban,348712787,432401341231.7671,district,2021,1
121,pune,208930588,253623629237.65796,district,2021,1
122,hyderabad,169703372,316572388133.7874,district,2021,1
123,jaipur,125917532,223771205713.25284,district,2021,1
124,bhopal,67309234,101725720745.41443,district,2021,1
125,rangareddy,60675056,98883148961.30931,district,2021,1
126,medchal malkajgiri,54854446,87516738646.29623,district,2021,1
127,central delhi,54173342,90711721159.77658,district,2021,1
128,mumbai suburban,49079788,75911506798.24135,district,2021,1
129,visakhapatnam,48248923,95308386037.8472,district,2021,1
130,bengaluru urban,326804307,444422398357.67755,district,2021,2
131,pune,218732925,298657497266.993,district,2021,2
132,hyderabad,212326623,424872741465.13696,district,2021,2
133,jaipur,137247139,248390977964.5579,district,2021,2
134,bhopal,74643630,127038866031.39793,district,2021,2
135,rangareddy,63155281,113987187628.93881,district,2021,2
136,central delhi,62131856,100895875737.76093,district,2021,2
137,medchal malkajgiri,58755991,102864360004.68025,district,2021,2
138,visakhapatnam,54390299,114439012713.35336,district,2021,2
139,patna,53400850,114936398151.99364,district,2021,2
140,bengaluru urban,476485560,626123198813.8513,district,2021,3
141,pune,303322956,372243656247.4718,district,2021,3
142,hyderabad,262028284,479343321365.3726,district,2021,3
143,jaipur,193839196,313664435689.29987,district,2021,3
144,bhopal,103403998,146735124186.2163,district,2021,3
145,central delhi,88849847,137311394953.58371,district,2021,3
146,rangareddy,87884143,147772047919.14047,district,2021,3
147,medchal malkajgiri,79514766,130838255095.6952,district,2021,3
148,khordha,71647985,108452202806.23244,district,2021,3
149,visakhapatnam,69220981,136945652159.26515,district,2021,3
150,bengaluru urban,584958847,755926042210.8081,district,2021,4
151,pune,371337618,454584743765.05554,district,2021,4
152,hyderabad,325636475,582079170534.0186,district,2021,4
153,jaipur,231804892,394435778364.0141,district,2021,4
154,bhopal,134176541,190196223229.17587,district,2021,4
155,rangareddy,111354739,188838966046.13513,district,2021,4
156,central delhi,111134916,177625511230.04297,district,2021,4
157,medchal malkajgiri,98780634,164568262330.06238,district,2021,4
158,khordha,94505879,135122128258.68542,district,2021,4
159,mumbai suburban,92733033,134616103622.6073,district,2021,4
160,bengaluru urban,648380838,837938769153.0938,district,2022,1
161,pune,424149132,508475101454.5797,district,2022,1
162,hyderabad,372711414,661512502141.0775,district,2022,1
163,jaipur,262950613,434507898653.22876,district,2022,1
164,bhopal,159892411,221096758835.27948,district,2022,1
165,central delhi,128309915,198072597274.588,district,2022,1
166,rangareddy,127675017,216609881380.40106,district,2022,1
167,medchal malkajgiri,110893187,185168270983.38605,district,2022,1
168,mumbai suburban,104595313,148080835860.6061,district,2022,1
169,khordha,104052705,152745328927.4852,district,2022,1
170,bengaluru urban,786978117,1013933810932.2711,district,2022,2
171,pune,520321567,620747087392.5974,district,2022,2
172,hyderabad,446470234,775908693266.7238,district,2022,2
173,jaipur,314511010,497492495896.22046,district,2022,2
174,bhopal,185588829,255910395858.58392,district,2022,2
175,rangareddy,161888380,267052522620.51453,district,2022,2
176,central delhi,159034619,232911858055.0848,district,2022,2
177,medchal malkajgiri,134114768,221257316347.71973,district,2022,2
178,mumbai suburban,125227570,172590494011.93738,district,2022,2
179,khordha,124986765,174299128204.99298,district,2022,2
180,hyderabad,1018658174,1586047443981.7903,district,2022,3
181,bengaluru urban,738035161,930886457807.8191,district,2022,3
182,pune,505018506,549531791371.8348,district,2022,3
183,jaipur,377469909,564818218571.2906,district,2022,3
184,central delhi,243139962,327191972497.86694,district,2022,3
185,mumbai suburban,197724164,247678975470.48975,district,2022,3
186,patna,188665398,298860414441.2887,district,2022,3
187,khordha,182514532,234713995654.54218,district,2022,3
188,chhindwara,169367916,236429180484.7117,district,2022,3
189,rangareddy,169029273,272598081405.12262,district,2022,3
190,hyderabad,1133829812,1753799022390.8733,district,2022,4
191,bengaluru urban,876647100,1092079302011.8888,district,2022,4
192,pune,544687754,590334491443.0927,district,2022,4
193,jaipur,404922774,635458549842.8215,district,2022,4
194,central delhi,280960656,386107883617.5307,district,2022,4
195,mumbai suburban,248827345,310278216439.5166,district,2022,4
196,chhindwara,245710341,350638062974.85736,district,2022,4
197,patna,217434851,352393762150.454,district,2022,4
198,khordha,208260666,268479766618.40594,district,2022,4
199,rangareddy,191136402,295773661437.69385,district,2022,4
0,560001,2917356,4684262246.184548,pincode,2018,1
1,110006,2636324,3714139312.238586,pincode,2018,1
2,400008,2227885,3105208723.475169,pincode,2018,1
3,600003,2010196,2997847000.265506,pincode,2018,1
4,731101,1764956,2366771285.7278423,pincode,2018,1
5,700009,1390629,1851145374.4001179,pincode,2018,1
6,411001,1055656,1413523605.5956619,pincode,2018,1
7,500012,933013,1643061976.4262943,pincode,2018,1
8,462001,832846,898730606.684653,pincode,2018,1
9,201301,690196,987613438.9540119,pincode,2018,1
10,560001,3777086,7545089760.607167,pincode,2018,2
11,110006,3069733,5237594871.124264,pincode,2018,2
12,600003,2771900,5194488793.022476,pincode,2018,2
13,400008,2631405,4703762207.003538,pincode,2018,2
14,731101,2134258,3697928407.603048,pincode,2018,2
15,700009,1473202,2566583723.725673,pincode,2018,2
16,411001,1316115,2145613783.5507011,pincode,2018,2
17,500012,1024336,2257038218.1929708,pincode,2018,2
18,201301,971854,1673280979.3831716,pincode,2018,2
19,462001,928983,1443626493.1959715,pincode,2018,2
20,110006,7198882,9029499185.157822,pincode,2018,3
21,560001,5764203,10161197002.295376,pincode,2018,3
22,600003,4430587,7070098756.153783,pincode,2018,3
23,400008,3111609,5436005565.19679,pincode,2018,3
24,731101,2644866,4429377129.783087,pincode,2018,3
25,700009,2531420,3555553312.5767612,pincode,2018,3
26,500012,1726388,3077635699.337487,pincode,2018,3
27,411001,1689517,2829639683.4067717,pincode,2018,3
28,221001,1439623,671779876.5266988,pincode,2018,3
29,201301,1438458,2181626866.4046803,pincode,2018,3
30,560001,7725284,14030425393.295612,pincode,2018,4
31,110006,7532374,11605568511.039162,pincode,2018,4
32,600003,5539392,10066365923.24963,pincode,2018,4
33,400008,4586309,8474903607.1238575,pincode,2018,4
34,731101,3284268,5847016363.011223,pincode,2018,4
35,700009,2939284,4991163446.523161,pincode,2018,4
36,500012,2576408,4841883809.168822,pincode,2018,4
37,201301,2504916,3217987818.841588,pincode,2018,4
38,411001,2176631,3917444399.4306126,pincode,2018,4
39,560068,1630650,1941175277.185885,pincode,2018,4
40,560001,16241340,23597361226.512825,pincode,2019,1
41,110006,10251048,13201959766.05106,pincode,2019,1
42,500012,9957548,15399177052.931395,pincode,2019,1
43,600003,8217185,12799152324.27052,pincode,2019,1
44,110011,6689740,9632804730.117004,pincode,2019,1
45,400008,6494529,10238553958.763014,pincode,2019,1
46,700009,6353573,7885002278.529919,pincode,2019,1
47,411006,5641935,9202990658.018358,pincode,2019,1
48,302001,4954219,7600396570.221162,pincode,2019,1
49,201301,4596696,4223121104.413077,pincode,2019,1
50,560001,27169035,40026681539.0066,pincode,2019,2
51,500012,23303184,42709920754.79193,pincode,2019,2
52,411006,22544991,34073354893.758354,pincode,2019,2
53,110011,20001452,31366326747.68567,pincode,2019,2
54,302001,14130072,26047079270.71371,pincode,2019,2
55,700009,9694969,12068405239.946836,pincode,2019,2
56,800015,9362673,19331794343.882797,pincode,2019,2
57,226004,8966947,16438621373.818607,pincode,2019,2
58,751002,8318660,12733845249.989027,pincode,2019,2
59,600003,6992850,13700604318.48539,pincode,2019,2
60,560001,34182229,49823702321.09828,pincode,2019,3
61,500012,27360144,55516914964.120514,pincode,2019,3
62,411006,25995035,42031275308.282005,pincode,2019,3
63,110011,20159577,36968948004.60185,pincode,2019,3
64,302001,15037317,31903765546.790287,pincode,2019,3
65,700009,11494363,14573984421.133255,pincode,2019,3
66,751002,9990982,16300297217.157505,pincode,2019,3
67,800015,8554034,21451659382.23745,pincode,2019,3
68,400008,7234595,14467758895.186302,pincode,2019,3
69,226004,6687157,17110382946.6282,pincode,2019,3
70,560001,48600127,67204107791.7798,pincode,2019,4
71,411006,32779718,51360244641.273315,pincode,2019,4
72,500012,32637373,67244225971.71475,pincode,2019,4
73,110011,22861243,44827058149.79611,pincode,2019,4
74,302001,17153003,41220743922.1253,pincode,2019,4
75,700009,16310685,18429094743.25623,pincode,2019,4
76,751002,13743261,19669451911.7042,pincode,2019,4
77,400008,10498727,22289347327.905037,pincode,2019,4
78,800015,10441675,26228173437.46787,pincode,2019,4
79,600003,10008230,21375916666.727257,pincode,2019,4
80,500001,63671159,139394865595.49792,pincode,2020,1
81,560001,57330889,81134886975.52737,pincode,2020,1
82,411004,43278566,64894935103.99599,pincode,2020,1
83,302016,24180734,56174137377.66255,pincode,2020,1
84,110006,19881142,34803706848.31907,pincode,2020,1
85,600003,14352747,29310364582.884754,pincode,2020,1
86,110001,13167147,27716426760.692245,pincode,2020,1
87,700009,13084249,24503076745.659294,pincode,2020,1
88,751001,11782987,25543182753.84958,pincode,2020,1
89,400070,10817537,21066837485.651253,pincode,2020,1
90,500001,39752686,101961882246.87434,pincode,2020,2
91,560001,38973791,66590268182.415665,pincode,2020,2
92,411004,27617700,58352702890.56202,pincode,2020,2
93,302016,22032140,53610675078.51194,pincode,2020,2
94,110006,14401400,26006450222.981194,pincode,2020,2
95,110001,9780539,21370003546.27849,pincode,2020,2
96,800001,9603835,29875811977.924408,pincode,2020,2
97,751001,9411361,23813152297.287315,pincode,2020,2
98,600003,8641869,22394007817.575096,pincode,2020,2
99,380001,8490730,21210698645.19712,pincode,2020,2
100,500001,70732132,177532009421.7673,pincode,2020,3
101,560001,56516908,95602796543.47356,pincode,2020,3
102,411004,49082232,94100767700.43585,pincode,2020,3
103,302016,34723808,78104750484.0607,pincode,2020,3
104,110006,27731187,53768475790.81149,pincode,2020,3
105,462008,18608188,42836925858.3958,pincode,2020,3
106,800001,14656027,41210183921.21666,pincode,2020,3
107,700009,14161961,35897930520.847115,pincode,2020,3
108,751001,11770940,27337331950.38349,pincode,2020,3
109,110001,11598940,25361403335.98009,pincode,2020,3
110,500001,63797806,154104662898.10648,pincode,2020,4
111,560001,56310863,93518053649.26508,pincode,2020,4
112,411004,48628369,83733590846.60262,pincode,2020,4
113,302016,31028451,71599277148.69725,pincode,2020,4
114,110006,24969702,48831647275.471146,pincode,2020,4
115,462008,20637374,44520942803.43778,pincode,2020,4
116,800001,14983099,39976507362.54611,pincode,2020,4
117,600003,11690163,26114457256.846283,pincode,2020,4
118,751001,11637193,26523469788.723434,pincode,2020,4
119,700009,11305243,28555964654.22016,pincode,2020,4
